content,label,filtered,cleaned,content_tokens,normalisasi
mudah2an selalu bisa membantu yg sedang butuh dana cepat dan kepepet .. terimakasih ã°å¸â¢â,0,mudah an selalu bisa membantu yg sedang butuh dana cepat dan kepepet terimakasih,mudah selalu bisa bantu sedang butuh dana cepat pepet terimakasih,"['mudah', 'selalu', 'bisa', 'bantu', 'sedang', 'butuh', 'dana', 'cepat', 'pepet', 'terimakasih']","['mudah', 'selalu', 'bisa', 'bantu', 'sedang', 'butuh', 'dana', 'cepat', 'pepet', 'terimakasih']"
photo kurang jelas,0,photo kurang jelas,photo kurang jelas,"['photo', 'kurang', 'jelas']","['foto', 'kurang', 'jelas']"
kepada bpk/ibu yang terhormat saya bernama mega selawati ingin menghapus data di karna kan pinjaman selesai terimakasih,0,kepada bpk ibu yang terhormat saya bernama mega selawati ingin menghapus data di karna kan pinjaman selesai terimakasih,kepada bpk ibu hormat saya nama mega selawat ingin hapus data karna pinjam selesai terimakasih,"['kepada', 'bpk', 'ibu', 'hormat', 'saya', 'nama', 'mega', 'selawat', 'ingin', 'hapus', 'data', 'karna', 'pinjam', 'selesai', 'terimakasih']","['kepada', 'bapak', 'ibu', 'hormat', 'aku', 'nama', 'mega', 'selawat', 'ingin', 'hapus', 'data', 'karena', 'pinjam', 'selesai', 'terimakasih']"
kamu nanya,0,kamu nanya,kamu nanya,"['kamu', 'nanya']","['kamu', 'tanya']"
satu dulu kalau di acc langsung lima,0,satu dulu kalau di acc langsung lima,satu dulu kalau acc langsung lima,"['satu', 'dulu', 'kalau', 'acc', 'langsung', 'lima']","['satu', 'dulu', 'kalau', 'terima', 'langsung', 'lima']"
ksh 5 bintang ... semoga di acc.. aminn,0,ksh bintang semoga di acc aminn,ksh bintang moga acc aminn,"['ksh', 'bintang', 'moga', 'acc', 'aminn']","['ksh', 'bintang', 'semoga', 'terima', 'amin']"
baru coba semoga cocok,0,baru coba semoga cocok,baru coba moga cocok,"['baru', 'coba', 'moga', 'cocok']","['baru', 'coba', 'semoga', 'cocok']"
mohon hapus data pribadi saya karena saya di tolak di aplikasi ini..mohon jangan sebarluaskan data pribadi saya,0,mohon hapus data pribadi saya karena saya di tolak di aplikasi ini mohon jangan sebarluaskan data pribadi saya,mohon hapus data pribadi saya saya tolak aplikasi mohon jangan sebarluaskan data pribadi saya,"['mohon', 'hapus', 'data', 'pribadi', 'saya', 'saya', 'tolak', 'aplikasi', 'mohon', 'jangan', 'sebarluaskan', 'data', 'pribadi', 'saya']","['mohon', 'hapus', 'data', 'pribadi', 'aku', 'aku', 'tolak', 'aplikasi', 'mohon', 'jangan', 'sebarluaskan', 'data', 'pribadi', 'aku']"
semoga pengajuan di terima,0,semoga pengajuan di terima,moga aju terima,"['moga', 'aju', 'terima']","['semoga', 'aju', 'terima']"
semoga diacc lagi butuh dana soalnya,0,semoga diacc lagi butuh dana soalnya,moga diacc butuh dana soal,"['moga', 'diacc', 'butuh', 'dana', 'soal']","['semoga', 'terima', 'butuh', 'dana', 'soal']"
"saya kasih dulu 2bintang,mudah2an jodohnya",0,saya kasih dulu bintang mudah an jodohnya,saya kasih dulu bintang mudah jodoh,"['saya', 'kasih', 'dulu', 'bintang', 'mudah', 'jodoh']","['aku', 'kasih', 'dulu', 'bintang', 'mudah', 'jodoh']"
siapa tau bisa membantu saya dengan keluarga saya,0,siapa tau bisa membantu saya dengan keluarga saya,siapa tau bisa bantu saya dengan keluarga saya,"['siapa', 'tau', 'bisa', 'bantu', 'saya', 'dengan', 'keluarga', 'saya']","['siapa', 'tau', 'bisa', 'bantu', 'aku', 'dengan', 'keluarga', 'aku']"
dua dulu kalo cair ditambah lagi terima kasih semoga bisa membantu,0,dua dulu kalo cair ditambah lagi terima kasih semoga bisa membantu,dua dulu kalo cair tambah terima kasih moga bisa bantu,"['dua', 'dulu', 'kalo', 'cair', 'tambah', 'terima', 'kasih', 'moga', 'bisa', 'bantu']","['dua', 'dulu', 'kalau', 'cair', 'tambah', 'terima', 'kasih', 'semoga', 'bisa', 'bantu']"
tolong hpus data sya n jgan disebarluaskan dta sya.krna sya sudah mengisi dta semua tp pengajuan lngsung ditolak,0,tolong hpus data sya n jgan disebarluaskan dta sya krna sya sudah mengisi dta semua tp pengajuan lngsung ditolak,tolong hpus data sya n jgan disebarluaskan dta sya krna sya sudah isi dta semua aju lngsung tolak,"['tolong', 'hpus', 'data', 'sya', 'n', 'jgan', 'disebarluaskan', 'dta', 'sya', 'krna', 'sya', 'sudah', 'isi', 'dta', 'semua', 'aju', 'lngsung', 'tolak']","['tolong', 'hpus', 'data', 'aku', 'dan', 'jgan', 'disebarluaskan', 'dta', 'aku', 'karena', 'aku', 'sudah', 'isi', 'dta', 'semua', 'aju', 'langsung', 'tolak']"
semoga pengajuan d acc,0,semoga pengajuan d acc,moga aju acc,"['moga', 'aju', 'acc']","['semoga', 'aju', 'terima']"
mudahan cair so pengajuan gampang g ribet,0,mudahan cair so pengajuan gampang g ribet,mudah cair so aju gampang g ribet,"['mudah', 'cair', 'so', 'aju', 'gampang', 'g', 'ribet']","['mudah', 'cair', 'jadi', 'aju', 'gampang', 'tidak', 'ribet']"
"saya kasih 3 bintang dulu, setelah cair, saya kasih bintang 5",0,saya kasih bintang dulu setelah cair saya kasih bintang,saya kasih bintang dulu telah cair saya kasih bintang,"['saya', 'kasih', 'bintang', 'dulu', 'telah', 'cair', 'saya', 'kasih', 'bintang']","['aku', 'kasih', 'bintang', 'dulu', 'telah', 'cair', 'aku', 'kasih', 'bintang']"
kasih bintang 3 lihat proses ya gmna klo bagus aku full'in bintang,0,kasih bintang lihat proses ya gmna klo bagus aku full in bintang,kasih bintang lihat proses gmna klo bagus aku full in bintang,"['kasih', 'bintang', 'lihat', 'proses', 'gmna', 'klo', 'bagus', 'aku', 'full', 'in', 'bintang']","['kasih', 'bintang', 'lihat', 'proses', 'gmna', 'kalau', 'bagus', 'aku', 'penuh', 'di', 'bintang']"
belum tahu,0,belum tahu,belum tahu,"['belum', 'tahu']","['belum', 'tahu']"
semoga di acc.. lagi membutuh kan dana buat kebutuhan mendesak..,0,semoga di acc lagi membutuh kan dana buat kebutuhan mendesak,moga acc butuh dana butuh desak,"['moga', 'acc', 'butuh', 'dana', 'butuh', 'desak']","['semoga', 'terima', 'butuh', 'dana', 'butuh', 'desak']"
uhhhh,0,uhhhh,uhhhh,['uhhhh'],['Tidak Komen']
sya beri 3 bintang dulu soalnya belum pasti di acc,0,sya beri bintang dulu soalnya belum pasti di acc,sya beri bintang dulu soal belum pasti acc,"['sya', 'beri', 'bintang', 'dulu', 'soal', 'belum', 'pasti', 'acc']","['aku', 'beri', 'bintang', 'dulu', 'soal', 'belum', 'pasti', 'terima']"
semoga di acc!!,0,semoga di acc,moga acc,"['moga', 'acc']","['semoga', 'terima']"
semoga bisa membantu saya,0,semoga bisa membantu saya,moga bisa bantu saya,"['moga', 'bisa', 'bantu', 'saya']","['semoga', 'bisa', 'bantu', 'aku']"
bintang setengah .. krna gk d acc.. tanpa keterangan jelas.,0,bintang setengah krna gk d acc tanpa keterangan jelas,bintang tengah krna gk acc tanpa terang jelas,"['bintang', 'tengah', 'krna', 'gk', 'acc', 'tanpa', 'terang', 'jelas']","['bintang', 'tengah', 'karena', 'tidak', 'terima', 'tanpa', 'terang', 'jelas']"
kasih 2 dulu kali dah di acc baru kasih5,0,kasih dulu kali dah di acc baru kasih,kasih dulu kali di acc baru kasih,"['kasih', 'dulu', 'kali', 'di', 'acc', 'baru', 'kasih']","['kasih', 'dulu', 'kali', 'di', 'terima', 'baru', 'kasih']"
mudahan sukses,0,mudahan sukses,mudah sukses,"['mudah', 'sukses']","['mudah', 'sukses']"
semoga berhasil indodana ok,0,semoga berhasil indodana ok,moga hasil indodana ok,"['moga', 'hasil', 'indodana', 'ok']","['semoga', 'hasil', 'indodana', 'ok']"
jika pengajuan saya tidak di acc tolong jaga privasi data saya jangan di salahgunakan sembarangan,0,jika pengajuan saya tidak di acc tolong jaga privasi data saya jangan di salahgunakan sembarangan,jika aju saya tidak acc tolong jaga privasi data saya jangan salahgunakan sembarang,"['jika', 'aju', 'saya', 'tidak', 'acc', 'tolong', 'jaga', 'privasi', 'data', 'saya', 'jangan', 'salahgunakan', 'sembarang']","['jika', 'aju', 'aku', 'tidak', 'terima', 'tolong', 'jaga', 'privasi', 'data', 'aku', 'jangan', 'salahgunakan', 'sembarang']"
kasih bintang 4 dulu kalo pengajuan saya diterima baru kasih bintang 5,0,kasih bintang dulu kalo pengajuan saya diterima baru kasih bintang,kasih bintang dulu kalo aju saya terima baru kasih bintang,"['kasih', 'bintang', 'dulu', 'kalo', 'aju', 'saya', 'terima', 'baru', 'kasih', 'bintang']","['kasih', 'bintang', 'dulu', 'kalau', 'aju', 'aku', 'terima', 'baru', 'kasih', 'bintang']"
bagus sayangnya dana pencarian low diharapkan kepada admin indodana memperbaiki masalah pencairan.,0,bagus sayangnya dana pencarian low diharapkan kepada admin indodana memperbaiki masalah pencairan,bagus sayang dana cari low harap kepada admin indodana baik masalah cair,"['bagus', 'sayang', 'dana', 'cari', 'low', 'harap', 'kepada', 'admin', 'indodana', 'baik', 'masalah', 'cair']","['bagus', 'sayang', 'dana', 'cari', 'low', 'harap', 'kepada', 'admin', 'indodana', 'baik', 'masalah', 'cair']"
aku ksih bintang 2 klo di acc aku ksih bintang 5,0,aku ksih bintang klo di acc aku ksih bintang,aku ksih bintang klo acc aku ksih bintang,"['aku', 'ksih', 'bintang', 'klo', 'acc', 'aku', 'ksih', 'bintang']","['aku', 'ksih', 'bintang', 'kalau', 'terima', 'aku', 'ksih', 'bintang']"
lier,0,lier,lier,['lier'],['lihat']
"baru mengajukan belum ada hasil,,tpi kasih bintang 5 tuh",0,baru mengajukan belum ada hasil tpi kasih bintang tuh,baru aju belum ada hasil tpi kasih bintang,"['baru', 'aju', 'belum', 'ada', 'hasil', 'tpi', 'kasih', 'bintang']","['baru', 'aju', 'belum', 'ada', 'hasil', 'tapi', 'kasih', 'bintang']"
semoga bisa cair butuh duet buat kebutuhan berobat adik,0,semoga bisa cair butuh duet buat kebutuhan berobat adik,moga bisa cair butuh duet butuh obat adik,"['moga', 'bisa', 'cair', 'butuh', 'duet', 'butuh', 'obat', 'adik']","['semoga', 'bisa', 'cair', 'butuh', 'duet', 'butuh', 'obat', 'adik']"
saya kasih bintang lma kalo agunan saya disetujui,0,saya kasih bintang lma kalo agunan saya disetujui,saya kasih bintang lma kalo agun saya tuju,"['saya', 'kasih', 'bintang', 'lma', 'kalo', 'agun', 'saya', 'tuju']","['aku', 'kasih', 'bintang', 'lma', 'kalau', 'agun', 'aku', 'tuju']"
mudah mudahan bisa membantu,0,mudah mudahan bisa membantu,mudah mudah bisa bantu,"['mudah', 'mudah', 'bisa', 'bantu']","['mudah', 'mudah', 'bisa', 'bantu']"
3 dlu klo di acc saya tambah lagi,0,dlu klo di acc saya tambah lagi,dlu klo acc saya tambah,"['dlu', 'klo', 'acc', 'saya', 'tambah']","['dulu', 'kalau', 'terima', 'aku', 'tambah']"
tinggal menugu acc atau perifikasi,0,tinggal menugu acc atau perifikasi,tinggal tugu acc atau perifikasi,"['tinggal', 'tugu', 'acc', 'atau', 'perifikasi']","['tinggal', 'tugu', 'terima', 'atau', 'perifikasi']"
semoga bs membantu& bermanfaat untuk org banyak yg membutuhkan,0,semoga bs membantu bermanfaat untuk org banyak yg membutuhkan,moga bantu manfaat untuk banyak butuh,"['moga', 'bantu', 'manfaat', 'untuk', 'banyak', 'butuh']","['semoga', 'bantu', 'manfaat', 'untuk', 'banyak', 'butuh']"
belum tau hasilnya,0,belum tau hasilnya,belum tau hasil,"['belum', 'tau', 'hasil']","['belum', 'tau', 'hasil']"
baru nyoba ntah di aacc apa tidak,0,baru nyoba ntah di aacc apa tidak,baru nyoba ntah aacc apa tidak,"['baru', 'nyoba', 'ntah', 'aacc', 'apa', 'tidak']","['baru', 'coba', 'entah', 'aacc', 'apa', 'tidak']"
moga bisa,0,moga bisa,moga bisa,"['moga', 'bisa']","['semoga', 'bisa']"
"tau bintang brp blom prnh pinjm cb 3 dlu ,nh",0,tau bintang brp blom prnh pinjm cb dlu nh,tau bintang brp blom prnh pinjm cb dlu nh,"['tau', 'bintang', 'brp', 'blom', 'prnh', 'pinjm', 'cb', 'dlu', 'nh']","['tau', 'bintang', 'brp', 'blom', 'pernah', 'pinjm', 'coba', 'dulu', 'nh']"
saya mau bayar tagihan tapi kenapa aplikasi nya tidak bisa di buka??????,0,saya mau bayar tagihan tapi kenapa aplikasi nya tidak bisa di buka,saya bayar tagih tapi kenapa aplikasi tidak bisa buka,"['saya', 'bayar', 'tagih', 'tapi', 'kenapa', 'aplikasi', 'tidak', 'bisa', 'buka']","['aku', 'bayar', 'tagih', 'tapi', 'kenapa', 'aplikasi', 'tidak', 'bisa', 'buka']"
semoga tidak seperti aplikasi lainya,0,semoga tidak seperti aplikasi lainya,moga tidak seperti aplikasi lai,"['moga', 'tidak', 'seperti', 'aplikasi', 'lai']","['semoga', 'tidak', 'seperti', 'aplikasi', 'lai']"
coba dulu kalo cair langsung bintang 5,0,coba dulu kalo cair langsung bintang,coba dulu kalo cair langsung bintang,"['coba', 'dulu', 'kalo', 'cair', 'langsung', 'bintang']","['coba', 'dulu', 'kalau', 'cair', 'langsung', 'bintang']"
di harapkan semoga saya acc,0,di harapkan semoga saya acc,harap moga saya acc,"['harap', 'moga', 'saya', 'acc']","['harap', 'semoga', 'aku', 'terima']"
dari pertama daftar selalu ditolak,0,dari pertama daftar selalu ditolak,pertama daftar selalu tolak,"['pertama', 'daftar', 'selalu', 'tolak']","['pertama', 'daftar', 'selalu', 'tolak']"
good semoga di acc,0,good semoga di acc,good moga acc,"['good', 'moga', 'acc']","['bagus', 'semoga', 'terima']"
gedhe,0,gedhe,gedhe,['gedhe'],['gedhe']
sippp,0,sippp,sippp,['sippp'],['sippp']
sa kasi 2 bintang dlu yaa kalau cair baru sya tambah kasi bintang 5,0,sa kasi bintang dlu yaa kalau cair baru sya tambah kasi bintang,sa bintang dlu kalau cair baru sya tambah bintang,"['sa', 'bintang', 'dlu', 'kalau', 'cair', 'baru', 'sya', 'tambah', 'bintang']","['sa', 'bintang', 'dulu', 'kalau', 'cair', 'baru', 'aku', 'tambah', 'bintang']"
"udah 3x pengajuan d tolak terus, bukan waktu sebentar menunggu pengajuan demi pengajuan.. 3 bulan nunggu bisa ngajukan kembali..eh nyatanya d tolak terus.. aplikasi apaan bos..sampah",0,udah x pengajuan d tolak terus bukan waktu sebentar menunggu pengajuan demi pengajuan bulan nunggu bisa ngajukan kembali eh nyatanya d tolak terus aplikasi apaan bos sampah,udah aju tolak bukan sebentar tunggu aju demi aju bulan nunggu bisa ngajukan kembali nyata tolak aplikasi apa bos sampah,"['udah', 'aju', 'tolak', 'bukan', 'sebentar', 'tunggu', 'aju', 'demi', 'aju', 'bulan', 'nunggu', 'bisa', 'ngajukan', 'kembali', 'nyata', 'tolak', 'aplikasi', 'apa', 'bos', 'sampah']","['sudah', 'aju', 'tolak', 'bukan', 'sebentar', 'tunggu', 'aju', 'demi', 'aju', 'bulan', 'nunggu', 'bisa', 'ngajukan', 'kembali', 'nyata', 'tolak', 'aplikasi', 'apa', 'bos', 'sampah']"
4 dulu karna baru coba,0,dulu karna baru coba,dulu karna baru coba,"['dulu', 'karna', 'baru', 'coba']","['dulu', 'karena', 'baru', 'coba']"
msh nyoba,0,msh nyoba,msh nyoba,"['msh', 'nyoba']","['masih', 'coba']"
saya kasih bintang1 dulu,0,saya kasih bintang dulu,saya kasih bintang dulu,"['saya', 'kasih', 'bintang', 'dulu']","['aku', 'kasih', 'bintang', 'dulu']"
moga di acc,0,moga di acc,moga acc,"['moga', 'acc']","['semoga', 'terima']"
semoga cair terimaksih atas bantuan nya,0,semoga cair terimaksih atas bantuan nya,moga cair terimaksih atas bantu,"['moga', 'cair', 'terimaksih', 'atas', 'bantu']","['semoga', 'cair', 'terimaksih', 'atas', 'bantu']"
semoga bermanfaat,0,semoga bermanfaat,moga manfaat,"['moga', 'manfaat']","['semoga', 'manfaat']"
belum nyaho limit,0,belum nyaho limit,belum nyaho limit,"['belum', 'nyaho', 'limit']","['belum', 'nyaho', 'limit']"
"saya yg bernama indra gunawan , meminta tolong hapus akun & data data pribadi saya di aplikasi ini di karena kan pinjaman saya tidak di acc , saya tunggu balasan dari bapak /ibu . terimakasih",0,saya yg bernama indra gunawan meminta tolong hapus akun data data pribadi saya di aplikasi ini di karena kan pinjaman saya tidak di acc saya tunggu balasan dari bapak ibu terimakasih,saya nama indra gunawan minta tolong hapus akun data data pribadi saya aplikasi kan pinjam saya tidak di acc saya tunggu balas bapak ibu terimakasih,"['saya', 'nama', 'indra', 'gunawan', 'minta', 'tolong', 'hapus', 'akun', 'data', 'data', 'pribadi', 'saya', 'aplikasi', 'kan', 'pinjam', 'saya', 'tidak', 'di', 'acc', 'saya', 'tunggu', 'balas', 'bapak', 'ibu', 'terimakasih']","['aku', 'nama', 'indra', 'gunawan', 'minta', 'tolong', 'hapus', 'akun', 'data', 'data', 'pribadi', 'aku', 'aplikasi', 'kan', 'pinjam', 'aku', 'tidak', 'di', 'terima', 'aku', 'tunggu', 'balas', 'bapak', 'ibu', 'terimakasih']"
tolong acc dong,0,tolong acc dong,tolong acc,"['tolong', 'acc']","['tolong', 'terima']"
baru coba semoga amanah,0,baru coba semoga amanah,baru coba moga amanah,"['baru', 'coba', 'moga', 'amanah']","['baru', 'coba', 'semoga', 'amanah']"
akan dikasih bintang 5 kalo cepat prosesnya sama gak kepotong sama biaya admint,0,akan dikasih bintang kalo cepat prosesnya sama gak kepotong sama biaya admint,akan kasih bintang kalo cepat proses sama gak potong sama biaya admint,"['akan', 'kasih', 'bintang', 'kalo', 'cepat', 'proses', 'sama', 'gak', 'potong', 'sama', 'biaya', 'admint']","['akan', 'kasih', 'bintang', 'kalau', 'cepat', 'proses', 'sama', 'tidak', 'potong', 'sama', 'biaya', 'admint']"
coba dulu,0,coba dulu,coba dulu,"['coba', 'dulu']","['coba', 'dulu']"
pengajuan di tolak,0,pengajuan di tolak,aju tolak,"['aju', 'tolak']","['aju', 'tolak']"
mudah mudahan d acc sejauh ini pengajuan sangat mudah,0,mudah mudahan d acc sejauh ini pengajuan sangat mudah,mudah mudah acc jauh aju sangat mudah,"['mudah', 'mudah', 'acc', 'jauh', 'aju', 'sangat', 'mudah']","['mudah', 'mudah', 'terima', 'jauh', 'aju', 'sangat', 'mudah']"
bintang 4 dulu ya,0,bintang dulu ya,bintang dulu,"['bintang', 'dulu']","['bintang', 'dulu']"
sementara bintang 1 dulu klw d acc baru bintang 5,0,sementara bintang dulu klw d acc baru bintang,sementara bintang dulu klw acc baru bintang,"['sementara', 'bintang', 'dulu', 'klw', 'acc', 'baru', 'bintang']","['sementara', 'bintang', 'dulu', 'klw', 'terima', 'baru', 'bintang']"
sangat membantu sekali,0,sangat membantu sekali,sangat bantu sekali,"['sangat', 'bantu', 'sekali']","['sangat', 'bantu', 'sekali']"
coba dulu mudah2an diacc,0,coba dulu mudah an diacc,coba dulu mudah diacc,"['coba', 'dulu', 'mudah', 'diacc']","['coba', 'dulu', 'mudah', 'terima']"
ngasih sgitu dulu nunggu di cair dulu,0,ngasih sgitu dulu nunggu di cair dulu,ngasih sgitu dulu nunggu cair dulu,"['ngasih', 'sgitu', 'dulu', 'nunggu', 'cair', 'dulu']","['ngasih', 'sgitu', 'dulu', 'nunggu', 'cair', 'dulu']"
belom d acc,0,belom d acc,bom acc,"['bom', 'acc']","['bom', 'terima']"
lamongan,0,lamongan,lamongan,['lamongan'],['lamongan']
sangat mudah tinggal nunggu acc,0,sangat mudah tinggal nunggu acc,sangat mudah tinggal nunggu acc,"['sangat', 'mudah', 'tinggal', 'nunggu', 'acc']","['sangat', 'mudah', 'tinggal', 'nunggu', 'terima']"
semoga terverifikasi,0,semoga terverifikasi,moga verifikasi,"['moga', 'verifikasi']","['semoga', 'verifikasi']"
tri juni yanto y mudah2n lolos,0,tri juni yanto y mudah n lolos,tri juni yanto y mudah n lolos,"['tri', 'juni', 'yanto', 'y', 'mudah', 'n', 'lolos']","['tri', 'juni', 'yanto', 'iya', 'mudah', 'dan', 'lolos']"
"hm, terima kasih",0,hm terima kasih,terima kasih,"['terima', 'kasih']","['terima', 'kasih']"
akun sudah 3 thun masa limit nya 3 juta ga naek naek,0,akun sudah thun masa limit nya juta ga naek naek,akun sudah thun masa limit juta ga naek naek,"['akun', 'sudah', 'thun', 'masa', 'limit', 'juta', 'ga', 'naek', 'naek']","['akun', 'sudah', 'thun', 'masa', 'limit', 'juta', 'tidak', 'naek', 'naek']"
semoga cocok,0,semoga cocok,moga cocok,"['moga', 'cocok']","['semoga', 'cocok']"
mudah mudah diacc,0,mudah mudah diacc,mudah mudah diacc,"['mudah', 'mudah', 'diacc']","['mudah', 'mudah', 'terima']"
acc pleaseee,0,acc pleaseee,acc pleaseee,"['acc', 'pleaseee']","['terima', 'pleaseee']"
tiga dulu kalau udah bisa pengajuan baru saya tambahin,0,tiga dulu kalau udah bisa pengajuan baru saya tambahin,tiga dulu kalau udah bisa aju baru saya tambahin,"['tiga', 'dulu', 'kalau', 'udah', 'bisa', 'aju', 'baru', 'saya', 'tambahin']","['tiga', 'dulu', 'kalau', 'sudah', 'bisa', 'aju', 'baru', 'aku', 'tambahin']"
sumatra selatan kabupaten ogan komering ilir,0,sumatra selatan kabupaten ogan komering ilir,sumatra selatan kabupaten ogan komering ilir,"['sumatra', 'selatan', 'kabupaten', 'ogan', 'komering', 'ilir']","['sumatra', 'selatan', 'kabupaten', 'ogan', 'komering', 'ilir']"
ini kenapa ya angsuran saya kan 12 bulan kenapa jadi 13 bulan?,0,ini kenapa ya angsuran saya kan bulan kenapa jadi bulan,kenapa angsur saya bulan kenapa jadi bulan,"['kenapa', 'angsur', 'saya', 'bulan', 'kenapa', 'jadi', 'bulan']","['kenapa', 'angsur', 'aku', 'bulan', 'kenapa', 'jadi', 'bulan']"
sementara 2 bintang dulu,0,sementara bintang dulu,sementara bintang dulu,"['sementara', 'bintang', 'dulu']","['sementara', 'bintang', 'dulu']"
kenapa saya sulit masuk setelah data sudah dikirim yaa?,0,kenapa saya sulit masuk setelah data sudah dikirim yaa,kenapa saya sulit masuk telah data sudah kirim,"['kenapa', 'saya', 'sulit', 'masuk', 'telah', 'data', 'sudah', 'kirim']","['kenapa', 'aku', 'sulit', 'masuk', 'telah', 'data', 'sudah', 'kirim']"
